time,trial
0.022238,1
0.013122,2
0.013132,3
0.014428,4
0.014043,5
0.012677,6
0.013542,7
0.013639,8
0.013192,9
0.013183,10
0.012457,11
0.014447,12
0.015555,13
0.013153,14
0.012869,15
