time,trial
0.018352,1
0.020384,2
0.017352,3
0.017320,4
0.019200,5
0.017224,6
0.019360,7
0.019976,8
0.019304,9
0.017144,10
0.020008,11
0.018600,12
0.019512,13
0.019096,14
0.018736,15
