time,trial
0.028832,1
0.028696,2
0.027696,3
0.028136,4
0.030112,5
0.030312,6
0.029264,7
0.029680,8
0.029520,9
0.029560,10
0.029248,11
0.029720,12
0.029328,13
0.029288,14
0.030016,15
