time,trial
0.019341,1
0.006967,2
0.007785,3
0.007141,4
0.007274,5
0.007712,6
0.007651,7
0.006929,8
0.008162,9
0.007560,10
0.007319,11
0.007743,12
0.008142,13
0.007519,14
0.007814,15
