time,trial
0.035273,1
0.021612,2
0.021440,3
0.021039,4
0.023583,5
0.022359,6
0.022625,7
0.020204,8
0.021706,9
0.021968,10
0.021094,11
0.020918,12
0.020863,13
0.022683,14
0.021695,15
