time,trial
0.006458,1
0.005441,2
0.001739,3
0.001446,4
0.001485,5
0.001597,6
0.001768,7
0.001510,8
0.001438,9
0.001548,10
0.001639,11
0.001536,12
0.001684,13
0.001677,14
0.001736,15
