time,trial
0.004448,1
0.003672,2
0.003744,3
0.003768,4
0.003792,5
0.003840,6
0.003824,7
0.003920,8
0.003688,9
0.003816,10
0.003816,11
0.003888,12
0.003952,13
0.003848,14
0.003840,15
